,Mkt-RF,SMB,HML,RF
199904,4.47,2.89,2.8,0.37
199905,-2.39,3.46,3.08,0.34
199906,4.72,3.42,-4.33,0.4
199907,-3.45,2.01,0.7,0.38
199908,-1.35,-1.16,-1.26,0.39
199909,-2.68,3.23,-3.18,0.39
199910,5.8,-6.53,-3.19,0.39
199911,3.2,7.71,-8.09,0.36
199912,7.83,6.98,-9.05,0.44
200001,-4.43,4.08,-0.16,0.41
200002,2.55,21.49,-12.03,0.43
200003,5.13,-16.69,7.81,0.47
200004,-6.24,-7.53,8.59,0.46
200005,-4.27,-5.86,5.38,0.5
200006,4.67,13.31,-8.78,0.4
200007,-2.23,-2.71,8.82,0.48
200008,7.09,-0.6,-2.06,0.5
200009,-5.64,-2.1,7.74,0.51
200010,-2.98,-3.78,5.06,0.56
200011,-10.64,-3.35,13.11,0.51
200012,1.44,1.67,6.33,0.5
200101,3.3,6.98,-5.83,0.54
200102,-10.17,-1.19,13.75,0.39
200103,-7.34,0.56,6.23,0.44
200104,7.94,0.2,-4.45,0.39
200105,0.76,2.96,2.79,0.32
200106,-2.01,6.8,-2.79,0.28
200107,-2.08,-4,5.17,0.3
200108,-6.22,1.88,3.8,0.31
200109,-9.35,-6.45,1.77,0.28
200110,2.5,6.87,-7,0.22
200111,7.65,0.51,0.59,0.17
200112,1.61,4.77,0.98,0.15
